"marka_kodu","tip_kodu","marka_adi","tip_adi","sifir_fiyat_id","eslestirme_yontem","eslestirme_skor","sf_marka_adi","sf_model_adi","sf_versiyon","sf_yakit","sf_vites","sf_guc","sf_liste_fiyati","sf_kampanya_fiyati","sf_scrape_date","updated_at"
"558","1048","BENTLEY","FLYING SPUR MULLINER 4.0 (782)",,,,,,,,,,,,,"2026-06-17T19:01:39.692305+00:00"
"27","1072","BMC","CEKICI PRO L 1852 4x2",,,,,,,,,,,,,"2026-06-17T19:01:14.22176+00:00"
"27","1068","BMC","KAMYON 417 4x2 9T HAFIF",,,,,,,,,,,,,"2026-06-17T19:01:14.22176+00:00"
"27","1070","BMC","KAMYON 417 4x2 9T HAFIF UZUN",,,,,,,,,,,,,"2026-06-17T19:01:14.22176+00:00"
"27","1044","BMC","OTOBUS NEOCITY (8.5M) E6",,,,,,,,,,,,,"2026-06-17T19:01:14.22176+00:00"
"27","1043","BMC","OTOBUS NEOCITY (8.5M) HALK E6",,,,,,,,,,,,,"2026-06-17T19:01:14.22176+00:00"
"27","1069","BMC","OTOBUS PROCITY (10.7) BELEDIYE",,,,,,,,,,,,,"2026-06-17T19:01:14.22176+00:00"
"27","1038","BMC","OTOBUS PROCITY (12M) CNG E6",,,,,,,,,,,,,"2026-06-17T19:01:14.116815+00:00"
"27","1035","BMC","OTOBUS PROCITY (12M) HALK E6",,,,,,,,,,,,,"2026-06-17T19:01:14.116815+00:00"
"27","1039","BMC","OTOBUS PROCITY TR (12M) BELEDIYE E6",,,,,,,,,,,,,"2026-06-17T19:01:14.116815+00:00"
"27","1045","BMC","OTOBUS PROCITY TR (18M)",,,,,,,,,,,,,"2026-06-17T19:01:14.22176+00:00"
"27","1067","BMC","OTOBUS PROCITY TR (18M) CNG",,,,,,,,,,,,,"2026-06-17T19:01:14.22176+00:00"
"21","2012","BMW","120 1.5 170 M SPORT","356","fiyat_exact","100","BMW","1 Serisi","M Sport  BMW 120 Mild Hybrid - Benzin","Mild Hibrit","Otomatik","170","4283100",,"2026-06-16","2026-06-17T19:01:13.721706+00:00"
"21","2020","BMW","120 1.5 170 SPORT LINE","357","fiyat_exact","100","BMW","1 Serisi","Sport Line 120 Mild Hybrid - Benzin","Mild Hibrit","Otomatik","170","3724500",,"2026-06-16","2026-06-17T19:01:13.819857+00:00"
"21","2035","BMW","220 GRAN COUPE 1.5 170 M SPORT","394","fiyat_exact","100","BMW","2 Serisi Gran Coupe","M Sport Otomatik Mild Hybrid - Benzin 170hp","Benzin","Otomatik","170","4427800",,"2026-06-16","2026-06-17T19:01:13.916756+00:00"
"21","2034","BMW","220 GRAN COUPE 1.5 170 SPORT LINE","393","fiyat_exact","100","BMW","2 Serisi Gran Coupe","Sport Line Otomatik Mild Hybrid - Benzin 170hp","Benzin","Otomatik","170","4152800",,"2026-06-16","2026-06-17T19:01:13.916756+00:00"
"21","1911","BMW","220i ACTIVE TOURER 1.5 170 LUXURY LINE","369","fiyat_exact","100","BMW","2 Serisi Active Tourer","Luxury Line 220i Mild Hybrid - Benzin","Benzin","Otomatik","170","4379500",,"2026-06-16","2026-06-17T19:01:13.525788+00:00"
"21","1912","BMW","220i ACTIVE TOURER 1.5 170 M SPORT","370","fiyat_exact","100","BMW","2 Serisi Active Tourer","M Sport 220i Mild Hybrid - Benzin","Benzin","Otomatik","170","4613200",,"2026-06-16","2026-06-17T19:01:13.525788+00:00"
"21","2033","BMW","230e ACTIVE TOURER XDRIVE LUXURY LINE","371","fiyat_exact","100","BMW","2 Serisi Active Tourer","Luxury Line 230e xDrive","Mild Hibrit","Otomatik","326","5031800",,"2026-06-16","2026-06-17T19:01:13.916756+00:00"
"21","2021","BMW","230e ACTIVE TOURER XDRIVE M SPORT","372","fiyat_exact","100","BMW","2 Serisi Active Tourer","M Sport 230e xDrive","Mild Hibrit","Otomatik","326","5371800",,"2026-06-16","2026-06-17T19:01:13.819857+00:00"
"21","2051","BMW","320i SEDAN 1.6 170 50 JAHRE EDITION",,,,,,,,,,,,,"2026-06-17T19:01:14.013489+00:00"
"21","1834","BMW","320i SEDAN 1.6 170 M SPORT","379","fiyat_exact","100","BMW","3 Serisi Sedan","M Sport 320i 1.6 170 BG Otomatik","Benzin","Otomatik","170","5990700",,"2026-06-16","2026-06-17T19:01:13.525788+00:00"
"21","1832","BMW","320i SEDAN 1.6 170 SPORT LINE","378","fiyat_exact","100","BMW","3 Serisi Sedan","Sport Line 320i 1.6 170 BG Otomatik","Benzin","Otomatik","170","5529000",,"2026-06-16","2026-06-17T19:01:13.525788+00:00"
"21","1829","BMW","420i COUPE 1.6 170 EDITION M SPORT","413","fiyat_exact","100","BMW","4 Serisi Coupe","Edition M Sport 420i 1.6 170 BG Otomatik","Benzin","Otomatik","170","7712500",,"2026-06-16","2026-06-17T19:01:13.525788+00:00"
"21","1877","BMW","420i COUPE 1.6 170 M SPORT","412","fiyat_exact","100","BMW","4 Serisi Coupe","M Sport 420i 1.6 170 BG Otomatik","Benzin","Otomatik","170","6905900",,"2026-06-16","2026-06-17T19:01:13.525788+00:00"
"21","2025","BMW","420i GRAN COUPE 1.6 170 EDITION M SPORT FL","396","fiyat_exact","100","BMW","4 Serisi Gran Coupe","Edition M Sport 420i 1.6 170 BG Otomatik","Benzin","Otomatik","170","7396900",,"2026-06-16","2026-06-17T19:01:13.819857+00:00"
"21","2024","BMW","420i GRAN COUPE 1.6 170 M SPORT FL","395","fiyat_exact","100","BMW","4 Serisi Gran Coupe","M Sport 420i 1.6 170 BG Otomatik","Benzin","Otomatik","170","6586700",,"2026-06-16","2026-06-17T19:01:13.819857+00:00"
"21","1974","BMW","430i XDRIVE CABRIO 2.0 245 M SPORT","397","fiyat_exact","100","BMW","4 Serisi Cabrio","M Sport 430i xDrive 2.0 245BG","Benzin","Otomatik","245","10004800",,"2026-06-16","2026-06-17T19:01:13.621548+00:00"
