"sifir_id","marka_adi","model_adi","versiyon","yakit","vites","guc_hp","liste_fiyati","kampanya_fiyati","tsb_tip_kodu","tsb_tip_adi","eslestirme","skor"
"1002","Renault","Duster","Evolution Turbo Tce EDC 145 hp","Mild Hibrit","Otomatik","145","2010000","0","2313","DUSTER EVOLUTION TURBO TCE EDC 145","fiyat_exact","100"
"1003","Renault","Duster","Techno Turbo Tce EDC 145 hp","Mild Hibrit","Otomatik","145","2080000","0","2314","DUSTER TECHNO TURBO TCE EDC 145","fiyat_exact","100"
"1004","Renault","Duster","Techno Full hybrid E-Tech 160 hp","Mild Hibrit","Otomatik",,"2570000","0","2315","DUSTER TECHNO F.HYBRID E-TECH 160","fiyat_exact","100"
"1005","Renault","Duster","Evolution Hybrid  4x4 LPG 150 hp","Benzin/LPG","Otomatik","150","2805000","0","2325","DUSTER EVOLUTION HYBRID 4X4 LPG 150","fiyat_exact","100"
"1006","Renault","Duster","Techno  hybrid  4x4 LPG 150 hp","Benzin/LPG","Otomatik","150","2840000","0","2316","DUSTER TECHNO HYBRID 4X4 LPG 150","fiyat_exact","100"
"1008","Renault","Kangoo Multix","Techno 1.3 TCe 130 bg","Benzin","Manuel","130","1681000","0","2287","KANGOO MULTIX TECHNO 1.3 TCE 130","fiyat_exact","100"
"1009","Renault","Kangoo Multix","Equilibre  1.3 TCe EDC 130 bg","Benzin","Otomatik","130","1731000","0","2327","KANGOO MULTIX EQUILIBRE 1.3 TCE EDC 130","fiyat_exact","100"
"1010","Renault","Kangoo Multix","Techno 1.5 Blue dCi 115 bg","Dizel","Manuel","115","1791000","0","2300","KANGOO MULTIX TECHNO 1.5 B DCI 115","fiyat_exact","100"
"1011","Renault","Kangoo Multix","Iconic 1.3 TCe EDC 130 bg","Benzin","Otomatik","130","1841000","0","2284","KANGOO MULTIX ICONIC 1.3 TCE EDC 130","fiyat_exact","100"
"1012","Renault","Kangoo Multix","Iconic 1.5 Blue dCi EDC 115 bg","Dizel","Otomatik","115","1961000","0","2301","KANGOO MULTIX ICONIC 1.5 B DCI EDC 115","fiyat_exact","100"
"1019","Renault","Kangoo Van","L2 Equilibre  1.5 Blue dCi 115 bg 6E","Dizel","Manuel","115","1486000","0","2277","KANGOO VAN L2 EQUILIBRE 1.5 BLUE DCI 115","fiyat_exact","100"
"1018","Renault","Kangoo Van","L1 Equilibre  1.5 Blue dCi EDC 115 bg","Dizel","Otomatik","115","1556000","0","2286","KANGOO VAN L1 EQUILIBRE 1.5 B.DCI EDC FY 115","fiyat_exact","100"
"1020","Renault","Kangoo Van","L2 Equilibre  1.5 Blue dCi EDC 115 bg","Dizel","Otomatik","115","1586000","0","2285","KANGOO VAN L2 EQUILIBRE 1.5 BLUEDCI EDC 115","fiyat_exact","100"
"1028","Renault","Master Kamyonet","L2 Tek Kabin L2 Tek Kabin 170 hp FD","Dizel","Manuel","170","1949000","0","2297","MASTER KAMYONET L2 TEK KABIN (170) FD","fiyat_exact","100"
"1029","Renault","Master Kamyonet","L3 Tek Kabin Kamyonet  Blue dCi 170","Dizel","Manuel","170","1984000","0","2298","MASTER KAMYONET L3 TEK KABIN (170) FD","fiyat_exact","100"
"1030","Renault","Master Kamyonet","L3 Çift Kabin 170 hp FD","Dizel","Manuel","170","2121000","0","2311","MASTER KAMYONET L3 CIFT KABIN (170) FD","fiyat_exact","100"
"1024","Renault","Master Panelvan","L2H2 11m3 170 hp","Dizel","Manuel","170","2021000","0","2295","MASTER PANELVAN L2H2 11M3 (170)","fiyat_exact","100"
"1025","Renault","Master Panelvan","L3H2 13m3 170 hp","Dizel","Manuel","170","2076000","0","2296","MASTER PANELVAN L3H2 13M3 (170)","fiyat_exact","100"
"1026","Renault","Master Panelvan","L3H2 17m3 170 hp","Dizel","Manuel","170","2165000","0","2328","MASTER PANELVAN L4H3 17M3 170","hp_model","87"
"1027","Renault","Master Panelvan","L4H3 17m3 170 hp","Dizel","Manuel","165","2271000","0","2328","MASTER PANELVAN L4H3 17M3 170","hp_model","95"
"1014","Renault","Megane E-Tech","Techno EV60 220 hp","Elektrik","Otomatik","160 kW","2273000","2386000","2270","MEGANE E-TECH TECHNO EV60 220","fiyat_kampanya","95"
"1013","Renault","Megane E-Tech","esprit Alpine EV60 220 hp","Elektrik","Otomatik","0","2486000","0","2310","MEGANE E-TECH ESPRIT ALPINE EV60 220","fiyat_exact","100"
"997","Renault","Megane Sedan","TOUCH 1.3 TCe 140 bg","Benzin","Manuel","140","1791000","0","2300","KANGOO MULTIX TECHNO 1.5 B DCI 115","fiyat_exact","100"
"998","Renault","Megane Sedan","TOUCH 1.3 TCe EDC 140 bg","Benzin","Otomatik","140","2160000","0","2313","DUSTER EVOLUTION TURBO TCE EDC 145","hp_model","51"
"999","Renault","Megane Sedan","ICON 1.3 TCe EDC 140 bg","Benzin","Otomatik","140","2325000","0","2313","DUSTER EVOLUTION TURBO TCE EDC 145","hp_model","51"
"1000","Renault","Megane Sedan","ICON 1.5 Blue dCi EDC 115 bg","Dizel","Otomatik","115","2699000","0","2321","AUSTRAL TECHNO MILD HYBRID 150 AT FL","fiyat_exact","100"
"1015","Renault","R5 E-Tech Elektrikli","Techno  EV40 120hp","Elektrik","Otomatik","110","1886000","0","2299","R5 E-TECH ELEKTRIKLI TECHNO 52KWH","hp_model","47"
"1016","Renault","R5 E-Tech Elektrikli","boş EV52 150hp","Elektrik","Otomatik","110kW","1938000","2101000","2299","R5 E-TECH ELEKTRIKLI TECHNO 52KWH","fiyat_kampanya","95"
"1017","Renault","Rafale","Esprit Alpine  1.2 E-Tech Full Hybrid 200 Hp","Mild Hibrit","Otomatik","200","3748000","0","2309","AUSTRAL ESPRIT ALPINE E-TECH 200 AT FL","hp_model","52"
"1033","Renault","Scenic E-Tech Elektrikli","Esprit Alpine EV87 220 hp","Elektrik","Otomatik","160","3490000","0","2326","SCENIC E-TECH ESPRIT ALPINE EV87 160KW","fiyat_exact","100"
"1021","Renault","Trafic Combi","5+1 Grand Confort 6 m3 2.0 Blue dCi 150 bg D-Full","Dizel","Manuel","150","2192000","0","2251","TRAFIC COMBI 5+1 GRAND CONFORT 6M3 150 D-FULL","fiyat_exact","100"
"1022","Renault","Trafic Combi","5+1 Grand Confort 6 m3 2.0 Blue dCi EDC 170 bg D-Full","Dizel","Otomatik","170","2384000","0","2303","TRAFIC COMBI 5+1 G.CONFORT 2.0 EAG9 170","fiyat_exact","100"
"1023","Renault","Trafic Combi","8+1 Grand Confort 6 m3 2.0 Blue dCi EAG9 170 bg","Dizel","Otomatik","170","2592000","0","2302","TRAFIC COMBI 8+1 G.CONFORT 2.0 EAG9 170","fiyat_exact","100"
